Code,Description,pheno_20,pheno_21,pheno_24,pheno_25,pheno_27,pheno_28,pheno_29,pheno_30,pheno_31,pheno_34,pheno_36,pheno_15,pheno_17,pheno_05,pheno_09,pheno_11,pheno_12,pheno_01,pheno_02,pheno_13,pheno_16,pheno_33,pheno_37,Person.count.in.SDE,In.Refset
10091002,High output heart failure (disorder),1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1010444007,Legal abortion complicated by cardiac failure (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1010447000,Illegal abortion complicated by cardiac failure (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
101281000119107,Congestive heart failure due to cardiomyopathy (disorder),1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
10335000,Chronic right-sided heart failure (disorder),1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1275,No
10519008,Acute pulmonary edema caused by fumes AND/OR vapors (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
10633002,Acute congestive heart failure (disorder),1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,14425,No
1064941000000106,Heart failure with reduced ejection fraction (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
10674871000119104,Pulmonary edema caused by chemical fumes (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
11016261000119104,Nutritional therapy for congestive heart failure done (situation),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1110931000000103,Quality and Outcomes Framework heart failure quality indicator-related care invitation (procedure),0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,75360,No
111282000,Acute respiratory insufficiency (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
111283005,Chronic left-sided heart failure (disorder),1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,690,No
11468004,Postoperative pulmonary edema (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1204200007,Left ventricular failure with normal ejection fraction due to valvular heart disease (disorder),0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,No
1204203009,Left ventricular failure with normal ejection fraction due to coronary arteriosclerosis (disorder),0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,No
1204204003,Left ventricular failure with normal ejection fraction due to myocarditis (disorder),0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,No
1204206001,Left ventricular failure with normal ejection fraction due to cardiomyopathy (disorder),0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,No
1204460007,Myocardial dysfunction with sepsis (disorder),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1204462004,Left ventricular failure with sepsis (disorder),0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
1204468000,Right ventricular failure with sepsis (disorder),0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,No
120639003,Hantavirus pulmonary syndrome (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,No
